Test,Tx Power,Distance,Scenarios,RSSI (dbm),Throughput (KB/S),Throughput (Kbps),Current (A),Power (W)
44,N9,45,Lobby,-100,1.41,11.29,0.103,0.34068
45,N12,55,Lobby,-93,0.70,5.60,0.102,0.33740
46,N6,0,Workshop,-37,11.32,90.57,0.104,0.34418
47,P6,10,Wall,-81,2.54,20.33,0.120,0.41438
48,P3,0,Workshop,-41,11.56,92.50,0.121,0.39649
49,N6,15,Wall,-96,1.17,9.34,0.103,0.34849
50,N3,0,Lobby,-59,10.60,84.77,0.111,0.36752
51,N6,10,Workshop,-82,2.71,21.67,0.100,0.34764
52,P6,40,Lobby,-68,8.30,66.42,0.123,0.40245
53,N12,40,Lobby,-88,0.70,5.60,0.106,0.33913
54,N3,15,Lobby,-78,2.45,19.61,0.111,0.36292
55,N9,15,Workshop,-87,1.20,9.58,0.099,0.32156
56,N12,35,Lobby,-100,1.31,10.50,0.103,0.34101
57,N3,45,Workshop,-84,3.49,27.95,0.117,0.37498
58,N3,20,Workshop,-79,4.21,33.71,0.111,0.36578
59,N6,10,Wall,-91,0.70,5.60,0.100,0.34596
60,P3,55,Wall,-98,0.70,5.60,0.119,0.40496
61,P6,15,Lobby,-52,12.01,96.04,0.125,0.40744
62,N9,45,Lobby,-97,0.70,5.60,0.097,0.33076
63,N6,30,Lobby,-80,1.08,8.65,0.103,0.35865
64,N3,60,Lobby,-90,2.20,17.60,0.112,0.36582
65,N12,55,Workshop,-96,1.67,13.33,0.100,0.33897
66,N6,40,Wall,-100,1.55,12.43,0.109,0.34647
67,P3,15,Crowded,-84,2.70,21.59,0.123,0.40002
68,N6,25,Lobby,-77,5.03,40.20,0.102,0.34879
69,N3,20,Wall,-99,2.74,21.95,0.115,0.37490
70,N9,20,Lobby,-70,2.34,18.73,0.102,0.33889
71,P3,30,Workshop,-64,8.58,68.67,0.121,0.38701
72,N0,15,Lobby,-58,4.86,38.86,0.112,0.37282
73,N3,15,Crowded,-87,1.57,12.52,0.108,0.35891
74,N0,20,Wall,-98,0.70,5.60,0.106,0.37382
75,N9,5,Wall,-100,1.09,8.74,0.101,0.31896
76,P3,30,Wall,-95,0.70,5.60,0.121,0.40411
77,N9,25,Workshop,-96,0.70,5.60,0.106,0.32830
78,P3,55,Workshop,-86,1.44,11.54,0.114,0.40413
79,P6,0,Crowded,-42,11.26,90.05,0.131,0.41483
80,N6,25,Wall,-94,2.63,21.04,0.109,0.32689
81,P6,15,Lobby,-48,11.81,94.49,0.127,0.41703
82,N3,40,Workshop,-82,3.07,24.58,0.112,0.36687
83,N12,10,Wall,-99,1.24,9.93,0.104,0.34067
84,N3,45,Lobby,-88,1.80,14.41,0.107,0.37340
85,N6,0,Wall,-44,7.56,60.47,0.099,0.35955
86,N12,0,Workshop,-53,7.92,63.39,0.103,0.35879
87,N0,10,Lobby,-53,12.68,101.47,0.113,0.37676
88,N12,10,Wall,-88,2.02,16.15,0.103,0.35177
89,N3,0,Wall,-34,11.61,92.88,0.108,0.36225
90,N0,15,Wall,-78,4.02,32.17,0.114,0.38065
91,N3,40,Wall,-100,1.62,12.93,0.114,0.35562
92,N9,25,Lobby,-75,2.73,21.84,0.106,0.33888
93,P6,40,Workshop,-60,8.69,69.50,0.125,0.40324
94,N12,55,Wall,-100,0.80,6.43,0.104,0.33795
95,N0,35,Lobby,-63,8.92,71.37,0.108,0.37487
96,N3,30,Workshop,-75,3.22,25.73,0.112,0.35442
97,P3,15,Workshop,-77,2.50,19.98,0.122,0.39809
98,N6,45,Workshop,-95,1.39,11.16,0.105,0.37316
99,N12,10,Lobby,-71,3.87,30.97,0.104,0.34212
100,N3,0,Workshop,-46,10.89,87.11,0.113,0.37249
101,P3,35,Workshop,-70,1.06,8.47,0.118,0.40939
102,N0,35,Workshop,-74,5.99,47.89,0.114,0.36974
103,N0,60,Crowded,-100,0.90,7.21,0.108,0.36460
104,N12,0,Wall,-66,6.91,55.32,0.108,0.33371
105,N12,40,Lobby,-86,1.51,12.06,0.100,0.34689
106,P3,15,Wall,-82,1.34,10.75,0.117,0.40344
107,N9,25,Wall,-100,1.03,8.20,0.102,0.32874
108,N6,10,Lobby,-73,7.62,60.96,0.106,0.32878
109,N3,0,Wall,-58,5.63,45.07,0.110,0.36960
110,P6,25,Wall,-91,1.58,12.64,0.125,0.41003
111,N6,5,Crowded,-87,0.90,7.22,0.107,0.34744
112,N6,60,Lobby,-88,0.89,7.13,0.104,0.35671
113,N6,30,Crowded,-100,0.70,5.60,0.104,0.34687
114,N6,25,Lobby,-89,1.86,14.92,0.105,0.35056
115,N3,0,Workshop,-45,9.42,75.32,0.108,0.34945
116,N6,15,Wall,-100,1.65,13.16,0.107,0.36387
117,N9,30,Crowded,-88,2.35,18.78,0.100,0.33211
118,N9,60,Workshop,-75,6.74,53.90,0.107,0.33610
119,N12,55,Lobby,-100,1.06,8.52,0.104,0.33860
120,N9,55,Lobby,-100,1.47,11.79,0.100,0.35050
121,P3,5,Wall,-65,10.81,86.48,0.122,0.38661
122,N0,20,Workshop,-47,10.80,86.40,0.115,0.36860
123,N9,45,Lobby,-94,0.70,5.60,0.096,0.32781
124,N9,20,Lobby,-51,9.58,76.67,0.101,0.32661
125,N9,40,Workshop,-86,0.97,7.80,0.098,0.33321
126,N3,5,Crowded,-65,8.90,71.21,0.109,0.36975
127,N0,50,Crowded,-100,0.70,5.60,0.120,0.37636
128,N6,45,Lobby,-90,0.85,6.76,0.103,0.34919
129,N3,20,Workshop,-84,3.13,25.06,0.113,0.37679
130,N9,20,Workshop,-87,1.28,10.21,0.099,0.32032
131,N9,25,Workshop,-76,2.39,19.13,0.099,0.34457
132,N9,5,Workshop,-72,4.43,35.48,0.104,0.32247
133,N0,40,Wall,-100,1.20,9.62,0.114,0.36718
134,N6,20,Workshop,-70,5.61,44.85,0.104,0.34558
135,N9,35,Wall,-100,1.31,10.50,0.101,0.33989
136,N3,35,Crowded,-88,1.62,12.93,0.116,0.36576
137,N0,15,Lobby,-93,1.05,8.40,0.118,0.37779
138,N12,35,Crowded,-94,0.70,5.60,0.101,0.34856
139,N3,25,Wall,-100,1.40,11.17,0.112,0.36168
140,P6,45,Workshop,-80,2.57,20.57,0.123,0.41244
141,P6,40,Workshop,-71,3.31,26.44,0.117,0.39552
142,P3,40,Wall,-100,0.70,5.60,0.121,0.38659
143,P3,25,Workshop,-67,0.70,5.60,0.120,0.39207
144,N12,35,Workshop,-84,1.19,9.55,0.102,0.35450
145,N6,45,Wall,-100,1.65,13.22,0.100,0.35777
146,P3,20,Workshop,-75,8.59,68.75,0.122,0.40466
147,N12,5,Crowded,-84,3.65,29.17,0.104,0.35226
148,N12,60,Workshop,-99,2.53,20.26,0.103,0.34201
149,P3,5,Lobby,-44,10.57,84.52,0.122,0.38782
150,N12,45,Workshop,-90,1.99,15.90,0.110,0.33953
151,P6,35,Workshop,-88,0.79,6.31,0.121,0.40321
152,N6,20,Wall,-100,1.47,11.79,0.104,0.34865
153,N3,30,Lobby,-83,1.29,10.29,0.107,0.36409
154,N12,35,Lobby,-83,3.58,28.61,0.102,0.34492
155,N6,15,Lobby,-88,1.71,13.67,0.108,0.34003
156,P3,5,Lobby,-54,13.02,104.14,0.125,0.38563
157,N12,25,Wall,-100,1.98,15.88,0.103,0.34298
158,N6,35,Crowded,-100,0.70,5.60,0.103,0.35281
159,N12,20,Workshop,-93,0.94,7.54,0.101,0.35751
160,N9,10,Workshop,-82,2.04,16.29,0.099,0.31850
161,N9,45,Wall,-100,1.20,9.58,0.098,0.32437
162,N6,40,Lobby,-90,0.70,5.60,0.105,0.34982
163,N9,5,Crowded,-80,2.41,19.31,0.102,0.32273
164,N3,20,Workshop,-95,0.70,5.60,0.117,0.36840
165,N6,25,Lobby,-77,3.74,29.89,0.106,0.34603
166,N9,35,Workshop,-96,0.70,5.60,0.103,0.32720
167,N3,10,Workshop,-62,8.58,68.64,0.114,0.37787
168,P3,15,Wall,-87,0.70,5.60,0.123,0.40630
169,N0,5,Workshop,-57,8.99,71.96,0.107,0.38445
170,N12,0,Lobby,-40,12.27,98.17,0.108,0.34311
171,N12,25,Workshop,-89,1.61,12.90,0.109,0.33304
172,N12,45,Workshop,-85,2.53,20.23,0.099,0.33065
173,N12,5,Lobby,-63,7.56,60.49,0.103,0.33035
174,P6,35,Lobby,-79,1.73,13.81,0.129,0.39782
175,P6,30,Lobby,-67,6.19,49.55,0.124,0.41289
176,N6,15,Wall,-100,0.82,6.56,0.104,0.33732
177,N12,35,Crowded,-100,1.23,9.86,0.106,0.34603
178,N9,15,Wall,-96,2.42,19.34,0.105,0.32297
179,P6,45,Crowded,-92,1.49,11.94,0.122,0.41379
180,N0,20,Wall,-100,1.69,13.51,0.114,0.37427
181,N9,40,Lobby,-92,1.58,12.65,0.100,0.33417
182,N9,55,Crowded,-100,1.37,10.94,0.101,0.34620
183,N9,10,Lobby,-71,8.03,64.21,0.104,0.34471
184,P3,30,Lobby,-73,1.86,14.91,0.121,0.38812
185,P6,45,Lobby,-50,7.80,62.42,0.124,0.41559
186,N0,55,Lobby,-81,2.00,16.04,0.111,0.37532
187,N6,5,Lobby,-67,6.43,51.44,0.105,0.33977
188,N12,15,Lobby,-85,2.88,23.03,0.103,0.34482
189,N9,55,Crowded,-100,1.79,14.31,0.098,0.35466
190,N9,45,Crowded,-100,0.76,6.05,0.101,0.33660
191,N3,60,Crowded,-100,0.70,5.60,0.112,0.37651
192,N12,35,Workshop,-88,1.16,9.28,0.105,0.34709
193,N3,40,Workshop,-81,1.06,8.51,0.113,0.34983
194,N12,35,Lobby,-92,0.70,5.60,0.107,0.33179
195,N9,0,Wall,-64,6.42,51.33,0.101,0.34303
196,N9,5,Workshop,-64,5.78,46.23,0.106,0.32445
197,N3,5,Workshop,-42,10.20,81.63,0.111,0.35575
198,N3,15,Lobby,-85,2.56,20.51,0.110,0.36062
199,P6,10,Crowded,-56,7.05,56.38,0.123,0.40870
200,N6,5,Lobby,-57,7.45,59.60,0.105,0.34162
201,P6,20,Wall,-63,9.43,75.41,0.123,0.41084
202,N6,50,Wall,-100,1.54,12.34,0.106,0.35766
203,N6,0,Lobby,-50,10.29,82.33,0.109,0.34542
204,N0,20,Lobby,-73,2.57,20.60,0.114,0.36752
205,P6,45,Workshop,-72,5.59,44.74,0.125,0.40833
206,N12,45,Workshop,-99,1.06,8.49,0.102,0.33336
207,N3,35,Crowded,-90,2.18,17.46,0.116,0.36534
208,P6,5,Lobby,-57,10.43,83.43,0.124,0.41351
209,N3,45,Lobby,-87,1.25,9.98,0.107,0.35937
210,P6,55,Workshop,-91,1.53,12.23,0.130,0.42648
211,N6,0,Crowded,-51,11.82,94.55,0.101,0.34477
212,N3,25,Wall,-100,1.44,11.49,0.111,0.36176
213,N9,25,Wall,-100,1.20,9.63,0.101,0.32780
214,N3,25,Lobby,-72,5.28,42.22,0.107,0.37381
215,N12,5,Wall,-90,1.22,9.76,0.104,0.34291
216,N3,30,Lobby,-73,3.35,26.84,0.116,0.37087
217,N9,20,Crowded,-86,0.70,5.60,0.099,0.31842
218,N6,40,Workshop,-89,1.50,12.03,0.105,0.34198
219,P3,40,Crowded,-93,0.80,6.38,0.122,0.40434
220,P3,0,Wall,-38,12.16,97.25,0.117,0.40259
221,N0,5,Lobby,-53,9.90,79.17,0.113,0.37021
222,N12,0,Workshop,-49,9.18,73.41,0.100,0.34604
223,P3,50,Lobby,-72,3.39,27.16,0.118,0.38781
224,N3,10,Lobby,-71,3.87,31.00,0.109,0.38794
225,N3,10,Crowded,-61,6.74,53.91,0.109,0.36859
226,N12,15,Wall,-99,2.91,23.29,0.097,0.33634
227,P6,30,Crowded,-85,3.66,29.29,0.129,0.40263
228,N12,45,Wall,-100,0.70,5.60,0.103,0.35348
229,N0,55,Crowded,-84,0.70,5.60,0.112,0.37102
230,N12,35,Lobby,-82,3.45,27.59,0.101,0.34892
231,N6,10,Crowded,-79,4.87,38.99,0.105,0.34148
232,N3,10,Crowded,-90,2.99,23.96,0.108,0.35782
233,P3,30,Wall,-96,1.23,9.87,0.122,0.38703
234,N12,35,Workshop,-76,2.44,19.53,0.103,0.34942
235,P3,35,Wall,-95,1.95,15.59,0.118,0.39396
236,N0,40,Crowded,-100,1.34,10.72,0.110,0.38179
237,N12,45,Workshop,-100,0.93,7.42,0.103,0.34819
238,N6,30,Workshop,-78,5.40,43.16,0.102,0.34902
239,N12,15,Workshop,-85,0.81,6.46,0.104,0.34452
240,N12,10,Workshop,-72,8.92,71.32,0.104,0.36302
241,N9,0,Wall,-63,6.42,51.37,0.102,0.34550
242,N0,45,Wall,-94,0.78,6.27,0.108,0.37801
243,N9,5,Lobby,-58,6.80,54.38,0.101,0.34821
244,N12,45,Workshop,-97,1.35,10.82,0.106,0.34416
245,N9,30,Workshop,-93,1.85,14.82,0.097,0.33112
246,N6,10,Lobby,-56,6.80,54.36,0.100,0.34786
247,N6,0,Crowded,-40,12.85,102.83,0.104,0.35805
248,P3,5,Crowded,-72,4.67,37.33,0.121,0.39707
249,N0,5,Workshop,-63,6.53,52.26,0.114,0.37009
250,P3,20,Lobby,-76,1.48,11.84,0.127,0.40822
251,N9,15,Wall,-100,1.74,13.93,0.105,0.34843
252,N9,55,Lobby,-100,0.97,7.76,0.101,0.32519
253,N12,15,Workshop,-87,1.94,15.52,0.099,0.35812
254,P3,5,Workshop,-51,10.25,82.02,0.117,0.39140
255,N12,10,Lobby,-75,7.63,61.06,0.106,0.33336
256,N12,55,Workshop,-90,1.42,11.38,0.107,0.33475
257,N0,40,Workshop,-81,1.29,10.30,0.113,0.36682
258,N0,50,Workshop,-77,2.35,18.79,0.118,0.37809
259,P3,50,Lobby,-83,2.62,20.96,0.120,0.38901
260,N9,5,Workshop,-71,2.01,16.08,0.103,0.32065
261,P3,20,Lobby,-79,3.89,31.10,0.124,0.39624
262,N0,5,Workshop,-60,5.46,43.71,0.115,0.37297
263,N9,0,Workshop,-54,12.05,96.43,0.104,0.34987
264,P6,50,Workshop,-78,2.08,16.64,0.124,0.41704
265,N9,40,Wall,-100,1.00,8.02,0.100,0.32160
266,N12,25,Crowded,-96,0.91,7.25,0.099,0.35163
267,P3,20,Crowded,-94,1.16,9.30,0.119,0.40115
268,N12,60,Workshop,-88,1.48,11.85,0.101,0.34611
269,N3,60,Workshop,-79,2.48,19.82,0.115,0.37395
270,N6,20,Crowded,-100,1.80,14.38,0.105,0.34276
271,N3,40,Lobby,-88,1.37,10.97,0.115,0.36326
272,P6,30,Workshop,-69,3.61,28.89,0.116,0.40987
273,N9,0,Workshop,-53,8.68,69.45,0.102,0.33239
274,P3,45,Lobby,-73,8.85,70.77,0.119,0.38797
275,N12,0,Workshop,-55,9.14,73.11,0.103,0.33708
276,N0,5,Lobby,-58,8.10,64.78,0.112,0.37878
277,N3,45,Wall,-100,1.66,13.30,0.112,0.38575
278,N3,25,Workshop,-81,1.18,9.41,0.116,0.35833
279,N6,5,Wall,-63,5.49,43.94,0.106,0.35957
280,P6,50,Lobby,-98,1.31,10.46,0.125,0.40847
281,N3,25,Wall,-98,2.42,19.33,0.108,0.36339
282,N9,5,Lobby,-56,8.90,71.19,0.099,0.34231
283,P3,30,Workshop,-87,0.95,7.60,0.118,0.37607
284,N9,0,Workshop,-43,7.74,61.94,0.098,0.33434
285,P6,15,Lobby,-52,9.79,78.32,0.125,0.42707
286,P6,60,Crowded,-98,2.16,17.29,0.131,0.40505
287,P6,5,Lobby,-44,7.40,59.23,0.122,0.42264
288,N0,0,Wall,-43,10.24,81.89,0.113,0.36533
289,N0,30,Lobby,-70,7.13,57.02,0.111,0.36332
290,N3,20,Workshop,-66,3.47,27.75,0.114,0.36597
291,N6,25,Wall,-100,2.09,16.70,0.108,0.34028
292,P3,35,Workshop,-53,9.29,74.35,0.122,0.39050
293,N0,45,Lobby,-75,3.48,27.84,0.115,0.37453
294,N3,20,Lobby,-72,4.92,39.35,0.110,0.37482
295,N12,5,Workshop,-85,1.47,11.75,0.099,0.34484
296,N3,0,Workshop,-57,9.05,72.44,0.110,0.36024
297,N9,5,Wall,-77,3.92,31.36,0.098,0.31813
298,P6,35,Lobby,-75,5.16,41.30,0.123,0.41054
299,N6,35,Wall,-100,0.90,7.20,0.097,0.34468
300,N9,20,Lobby,-81,3.08,24.62,0.102,0.33053
301,N12,25,Workshop,-76,1.72,13.78,0.110,0.34763
302,N12,15,Lobby,-65,8.60,68.81,0.104,0.34501
303,P6,5,Wall,-57,8.61,68.90,0.126,0.40610
304,N6,0,Lobby,-47,11.89,95.14,0.100,0.34059
305,N0,45,Wall,-100,0.70,5.60,0.107,0.35728
306,N12,35,Lobby,-81,2.13,17.02,0.101,0.33936
307,P3,30,Lobby,-87,0.91,7.26,0.116,0.38190
308,N6,55,Workshop,-100,1.94,15.53,0.105,0.35451
309,N12,25,Workshop,-100,1.49,11.95,0.104,0.33975
310,N9,10,Crowded,-77,2.38,19.08,0.101,0.33736
311,N6,5,Workshop,-65,7.86,62.91,0.102,0.34332
312,P3,50,Wall,-100,2.07,16.56,0.119,0.39135
313,N12,30,Crowded,-100,0.70,5.60,0.111,0.34314
314,N6,35,Workshop,-74,5.14,41.09,0.108,0.35147
315,N3,30,Lobby,-80,1.57,12.54,0.105,0.35994
316,N12,15,Wall,-100,1.05,8.43,0.101,0.34632
317,N6,45,Wall,-100,2.71,21.70,0.110,0.34833
318,N3,35,Workshop,-65,8.31,66.47,0.115,0.36600
319,N12,25,Workshop,-72,4.31,34.47,0.104,0.34829
320,N12,35,Lobby,-100,0.77,6.17,0.100,0.35227
321,N0,25,Workshop,-78,4.17,33.40,0.110,0.38225
322,N0,30,Wall,-100,0.87,6.98,0.114,0.36529
323,P3,20,Workshop,-66,9.61,76.91,0.118,0.40382
324,N12,30,Crowded,-100,0.70,5.60,0.103,0.36347
325,N3,10,Workshop,-66,5.38,43.07,0.107,0.36554
326,N12,35,Lobby,-81,1.94,15.53,0.097,0.35465
327,N6,15,Workshop,-61,7.81,62.50,0.099,0.34201
328,N6,55,Crowded,-88,1.32,10.57,0.106,0.35708
329,N12,50,Wall,-100,0.70,5.60,0.099,0.34560
330,N6,25,Lobby,-67,7.89,63.15,0.103,0.34592
331,N12,0,Wall,-46,8.73,69.83,0.101,0.33888
332,N12,55,Lobby,-93,1.39,11.16,0.102,0.34070
333,N6,45,Wall,-100,1.53,12.22,0.110,0.35048
334,N6,10,Lobby,-62,11.55,92.38,0.108,0.35044
335,P3,35,Wall,-100,2.08,16.67,0.120,0.39896
336,N9,5,Wall,-73,5.54,44.29,0.097,0.32097
337,N3,20,Workshop,-93,2.39,19.08,0.111,0.37572
338,N3,60,Lobby,-81,2.94,23.52,0.111,0.37053
339,N6,30,Lobby,-92,2.82,22.56,0.107,0.35803
340,N12,25,Workshop,-77,3.80,30.39,0.102,0.34158
341,N6,0,Workshop,-34,13.16,105.28,0.107,0.35142
342,N3,0,Crowded,-44,12.16,97.27,0.115,0.34771
343,N6,5,Wall,-98,0.71,5.71,0.107,0.34490
344,N3,30,Crowded,-100,0.70,5.60,0.117,0.36222
345,N6,35,Wall,-100,1.59,12.73,0.110,0.34030
346,N3,15,Lobby,-86,1.44,11.54,0.110,0.38275
347,N9,15,Wall,-100,2.61,20.86,0.104,0.35098
348,P3,15,Wall,-85,3.23,25.87,0.118,0.39956
349,N6,45,Crowded,-99,1.13,9.02,0.107,0.35514
350,N6,10,Lobby,-64,4.96,39.69,0.106,0.34297
351,N6,25,Wall,-100,1.01,8.05,0.108,0.35143
352,N0,25,Wall,-100,1.29,10.30,0.116,0.37910
353,N12,35,Workshop,-86,1.03,8.22,0.109,0.35163
354,N9,5,Wall,-94,0.70,5.60,0.100,0.33597
355,N9,10,Crowded,-96,2.04,16.29,0.094,0.33059
356,P3,35,Crowded,-100,1.64,13.12,0.120,0.39024
357,N3,20,Lobby,-69,6.44,51.52,0.113,0.37783
358,P3,45,Workshop,-81,2.75,21.99,0.124,0.38970
359,N3,15,Wall,-78,1.30,10.42,0.112,0.36464
360,N3,10,Workshop,-71,3.92,31.36,0.109,0.37630
361,N0,30,Workshop,-60,10.10,80.82,0.114,0.36938
362,N6,30,Workshop,-65,6.68,53.43,0.102,0.34810
363,N0,60,Wall,-100,1.98,15.87,0.118,0.37932
364,N6,15,Lobby,-86,0.70,5.60,0.106,0.35113
365,N12,20,Workshop,-80,0.83,6.68,0.107,0.34531
366,N3,5,Lobby,-64,6.42,51.35,0.109,0.37705
367,N12,5,Wall,-94,1.89,15.09,0.106,0.35143
368,N9,30,Wall,-100,1.09,8.75,0.096,0.33677
369,N12,15,Crowded,-95,0.70,5.60,0.103,0.34799
370,N6,15,Workshop,-69,3.60,28.83,0.107,0.34111
371,N3,20,Crowded,-87,1.28,10.22,0.114,0.36111
372,N12,55,Workshop,-96,0.99,7.96,0.096,0.35174
373,N12,0,Workshop,-52,11.33,90.64,0.102,0.34860
374,N12,45,Lobby,-90,0.70,5.60,0.105,0.32709
375,N9,35,Crowded,-100,1.53,12.26,0.101,0.34377
376,N3,25,Lobby,-58,13.31,106.48,0.117,0.36236
377,N6,50,Lobby,-95,0.76,6.05,0.105,0.33971
378,N12,15,Lobby,-83,1.86,14.84,0.104,0.35565
379,P6,25,Lobby,-69,3.28,26.25,0.126,0.41399
380,N6,35,Workshop,-72,4.77,38.12,0.108,0.34920
381,N3,30,Lobby,-71,7.32,58.53,0.112,0.35965
382,P6,0,Crowded,-46,11.76,94.06,0.124,0.41729
383,N3,50,Crowded,-90,0.70,5.60,0.112,0.37427
384,N0,50,Workshop,-78,2.10,16.77,0.116,0.36606
385,N3,15,Wall,-62,6.81,54.51,0.117,0.36677
386,N9,5,Lobby,-40,12.57,100.53,0.103,0.32060
387,N9,15,Workshop,-89,1.11,8.91,0.098,0.33930
388,N12,15,Lobby,-65,7.23,57.83,0.104,0.34202
389,N12,10,Workshop,-72,5.57,44.54,0.102,0.34239
390,N12,20,Lobby,-62,12.49,99.90,0.105,0.35072
391,N12,15,Workshop,-97,2.05,16.40,0.105,0.34096
392,N9,0,Workshop,-45,12.38,99.06,0.097,0.33713
393,N6,50,Workshop,-84,1.83,14.66,0.106,0.35402
394,N3,40,Crowded,-95,1.35,10.81,0.109,0.37182
395,N3,0,Lobby,-49,8.20,65.61,0.111,0.37256
396,N9,20,Workshop,-85,1.64,13.14,0.101,0.33116
397,N6,55,Lobby,-75,4.89,39.16,0.103,0.34549
398,N12,40,Lobby,-99,0.91,7.26,0.110,0.34657
399,P3,35,Wall,-100,0.94,7.50,0.119,0.38368
400,N6,45,Workshop,-78,3.87,30.95,0.109,0.34797
401,N12,55,Lobby,-93,1.59,12.73,0.101,0.35443
402,P6,25,Lobby,-71,0.70,5.60,0.125,0.40460
403,N3,45,Workshop,-81,1.99,15.89,0.111,0.37405
404,P3,25,Workshop,-68,6.17,49.39,0.119,0.41103
405,N3,15,Workshop,-65,8.50,67.97,0.110,0.35450
406,N6,25,Crowded,-100,1.77,14.18,0.105,0.35798
407,N12,20,Wall,-98,0.70,5.60,0.104,0.34906
408,N12,25,Workshop,-85,2.45,19.64,0.104,0.35702
409,N6,20,Lobby,-75,7.35,58.81,0.108,0.34885
410,N3,40,Lobby,-77,1.70,13.63,0.117,0.37317
411,N3,30,Wall,-97,1.02,8.13,0.110,0.37090
412,N9,10,Lobby,-53,11.84,94.75,0.097,0.32059
413,N3,10,Workshop,-67,6.49,51.95,0.112,0.36673
414,P3,60,Lobby,-73,9.01,72.09,0.118,0.39362
415,N9,30,Lobby,-86,1.14,9.12,0.104,0.33153
416,N6,50,Workshop,-88,1.27,10.14,0.111,0.34819
417,N12,20,Lobby,-79,5.41,43.25,0.103,0.33365
418,N12,40,Wall,-100,2.25,18.03,0.104,0.34553
419,N12,45,Lobby,-97,1.85,14.76,0.105,0.35331
420,P3,20,Crowded,-71,3.66,29.31,0.117,0.39657
421,N9,50,Wall,-100,1.27,10.17,0.100,0.33312
422,N12,25,Wall,-100,1.01,8.10,0.101,0.34588
423,N12,35,Crowded,-94,2.11,16.86,0.100,0.33883
424,N6,40,Lobby,-67,6.37,50.97,0.108,0.34524
425,N12,15,Workshop,-92,0.70,5.60,0.102,0.33770
426,N3,50,Lobby,-71,8.19,65.48,0.110,0.36708
427,N6,5,Workshop,-61,10.52,84.15,0.108,0.35513
428,N9,0,Crowded,-50,9.68,77.46,0.101,0.33889
429,N3,10,Crowded,-97,1.12,8.97,0.114,0.36984
430,N0,10,Wall,-66,4.78,38.23,0.116,0.38236
431,N3,25,Workshop,-77,3.83,30.66,0.116,0.36925
432,N6,15,Crowded,-89,0.70,5.60,0.110,0.34933
433,P3,5,Workshop,-58,6.37,50.95,0.119,0.40545
434,P3,40,Wall,-100,0.70,5.60,0.120,0.40356
435,N0,5,Crowded,-82,1.68,13.43,0.113,0.38630
436,N12,40,Workshop,-100,0.70,5.63,0.101,0.33645
